market_date,checkpoint,horizon_minutes,decision_timestamp,dataset_layer,resolved_winner,favorite_bucket,favorite_bucket_index,favorite_market_q_raw,favorite_model_p,favorite_raw_edge,lower_neighbor_bucket,lower_neighbor_market_q_raw,lower_neighbor_model_p,lower_neighbor_raw_edge,upper_neighbor_bucket,upper_neighbor_market_q_raw,upper_neighbor_model_p,upper_neighbor_raw_edge,strategy_variant,selected_neighbor_side,selected_buckets,selected_bucket_indices,number_of_buckets,basket_model_p,basket_market_q_raw,execution_stress,basket_stressed_cost,basket_raw_edge,basket_stressed_edge,won,payout,stressed_pnl,ROI,five_share_cost,five_share_pnl,month,temporal_block,model_probability_sum_11,market_q_sum_11,spot,spot_bucket_index,spot_inside_favorite,spot_inside_selected_neighbor,spot_inside_basket,spot_position,favorite_location,selection_uses_winner
2026-01-03,T-30,30,2026-01-03T16:30:00+00:00,historical_validation_visible,"90,000-92,000","90,000-92,000",7,0.6050000190734863,0.7166452288656359,0.11164520979214954,"88,000-90,000",0.33500000834465027,0.28335477113436414,-0.05164523721028613,"92,000-94,000",0.0010000000474974513,0.0,-0.0010000000474974513,A,none,"90,000-92,000",7,1,0.7166452288656359,0.6050000190734863,0.03,0.6350000190734864,0.11164520979214954,0.08164520979214951,True,1.0,0.36499998092651365,0.5748031023039599,3.175000095367432,1.8249999046325682,2026-01,1,1.0,0.9480000277399085,90053.54,7,True,False,True,spot_inside_favorite,central,False
2026-01-08,T-30,30,2026-01-08T16:30:00+00:00,historical_validation_visible,"90,000-92,000","90,000-92,000",7,0.9300000071525574,1.0,0.06999999284744263,"88,000-90,000",0.06499999761581421,0.0,-0.06499999761581421,"92,000-94,000",0.00800000037997961,0.0,-0.00800000037997961,A,none,"90,000-92,000",7,1,1.0,0.9300000071525574,0.03,0.9600000071525574,0.06999999284744263,0.0399999928474426,True,1.0,0.0399999928474426,0.04166665890564524,4.800000035762787,0.199999964237213,2026-01,1,1.0,1.0100000054226257,90667.67,7,True,False,True,spot_inside_favorite,central,False
2026-01-12,T-30,30,2026-01-12T16:30:00+00:00,historical_validation_visible,"92,000-94,000","92,000-94,000",5,0.5609999895095825,0.7688260621178312,0.2078260726082487,"90,000-92,000",0.4650000035762787,0.23117393788216875,-0.23382606569410994,"94,000-96,000",0.003000000026077032,0.0,-0.003000000026077032,A,none,"92,000-94,000",5,1,0.7688260621178312,0.5609999895095825,0.03,0.5909999895095825,0.2078260726082487,0.17782607260824868,True,1.0,0.40900001049041745,0.6920474073608861,2.954999947547913,2.045000052452087,2026-01,1,1.0,1.0359999933862127,92217.62,5,True,False,True,spot_inside_favorite,central,False
2026-01-14,T-60,60,2026-01-14T16:00:00+00:00,historical_validation_visible,"96,000-98,000","96,000-98,000",8,0.8565000295639038,0.9166590577469802,0.06015902818307639,"94,000-96,000",0.11999999731779099,0.08334094225301986,-0.03665905506477113,"98,000-100,000",0.032999999821186066,0.0,-0.032999999821186066,A,none,"96,000-98,000",8,1,0.9166590577469802,0.8565000295639038,0.03,0.8865000295639038,0.06015902818307639,0.030159028183076364,True,1.0,0.11349997043609616,0.12803154726563318,4.432500147819519,0.5674998521804808,2026-01,1,1.0,1.0180000270484015,96764.57,8,True,False,True,spot_inside_favorite,central,False
2026-01-15,T-60,60,2026-01-15T16:00:00+00:00,historical_validation_visible,"96,000-98,000","96,000-98,000",8,0.7705000042915344,0.8843882520060992,0.11388824771456474,"94,000-96,000",0.20499999821186066,0.1156117479939008,-0.08938825021795986,"98,000-100,000",0.020500000566244125,0.0,-0.020500000566244125,A,none,"96,000-98,000",8,1,0.8843882520060992,0.7705000042915344,0.03,0.8005000042915345,0.11388824771456474,0.08388824771456471,True,1.0,0.19949999570846555,0.24921923127911635,4.0025000214576725,0.9974999785423277,2026-01,1,1.0,1.019500004069414,96737.04,8,True,False,True,spot_inside_favorite,central,False
2026-01-22,T-60,60,2026-01-22T16:00:00+00:00,historical_validation_visible,"88,000-90,000","88,000-90,000",1,0.8730000257492065,1.0,0.12699997425079346,"<88,000",0.061000000685453415,0.0,-0.061000000685453415,"90,000-92,000",0.06849999725818634,0.0,-0.06849999725818634,A,none,"88,000-90,000",1,1,1.0,0.8730000257492065,0.03,0.9030000257492066,0.12699997425079346,0.09699997425079343,True,1.0,0.09699997425079343,0.10741968049260453,4.515000128746033,0.48499987125396715,2026-01,1,1.0,1.0095000239671208,89000.01,1,True,False,True,spot_inside_favorite,lower_two,False
2026-01-27,T-30,30,2026-01-27T16:30:00+00:00,historical_validation_visible,"88,000-90,000","88,000-90,000",4,0.8450000286102295,0.8990961307032983,0.05409610209306881,"86,000-88,000",0.15000000596046448,0.10090386929670168,-0.04909613666376279,"90,000-92,000",0.006000000052154064,0.0,-0.006000000052154064,A,none,"88,000-90,000",4,1,0.8990961307032983,0.8450000286102295,0.03,0.8750000286102295,0.05409610209306881,0.024096102093068783,True,1.0,0.12499997138977048,0.14285710548868102,4.375000143051148,0.6249998569488524,2026-01,1,1.0,1.0060000348021276,88372.9,4,True,False,True,spot_inside_favorite,central,False
2026-01-28,T-30,30,2026-01-28T16:30:00+00:00,historical_validation_visible,"88,000-90,000","88,000-90,000",6,0.75,0.8094159820233229,0.05941598202332288,"86,000-88,000",0.004000000189989805,0.0,-0.004000000189989805,"90,000-92,000",0.25,0.19058401797667712,-0.05941598202332288,A,none,"88,000-90,000",6,1,0.8094159820233229,0.75,0.03,0.78,0.05941598202332288,0.02941598202332285,True,1.0,0.21999999999999997,0.282051282051282,3.9000000000000004,1.0999999999999999,2026-01,1,1.0,1.012000000453554,89748.93,6,True,False,True,spot_inside_favorite,central,False
2026-01-29,T-60,60,2026-01-29T16:00:00+00:00,historical_validation_visible,"84,000-86,000","84,000-86,000",3,0.809499979019165,0.9319009201169509,0.12240094109778588,"82,000-84,000",0.07800000160932541,0.06809907988304906,-0.009900921726276352,"86,000-88,000",0.05999999865889549,0.0,-0.05999999865889549,A,none,"84,000-86,000",3,1,0.9319009201169509,0.809499979019165,0.03,0.8394999790191651,0.12240094109778588,0.09240094109778585,True,1.0,0.16050002098083493,0.19118525907333092,4.1974998950958256,0.8025001049041747,2026-01,1,1.0,0.9659999797004275,84934.02,3,True,False,True,spot_inside_favorite,central,False
2026-01-30,T-30,30,2026-01-30T16:30:00+00:00,historical_validation_visible,"82,000-84,000","82,000-84,000",1,0.8849999904632568,1.0,0.11500000953674316,"<82,000",0.04100000113248825,0.0,-0.04100000113248825,"84,000-86,000",0.0754999965429306,0.0,-0.0754999965429306,A,none,"82,000-84,000",1,1,1.0,0.8849999904632568,0.03,0.9149999904632569,0.11500000953674316,0.08500000953674314,True,1.0,0.08500000953674314,0.09289618625428438,4.5749999523162845,0.4250000476837157,2026-01,1,1.0,1.0054999883286655,83165.47,1,True,False,True,spot_inside_favorite,lower_two,False
2026-01-31,T-30,30,2026-01-31T16:30:00+00:00,historical_validation_visible,"80,000-82,000","80,000-82,000",1,0.8690000176429749,1.0,0.13099998235702515,"<80,000",0.03700000047683716,0.0,-0.03700000047683716,"82,000-84,000",0.0729999989271164,0.0,-0.0729999989271164,A,none,"80,000-82,000",1,1,1.0,0.8690000176429749,0.03,0.8990000176429749,0.13099998235702515,0.10099998235702512,True,1.0,0.10099998235702512,0.1123470304503774,4.495000088214875,0.5049999117851256,2026-01,2,1.0,0.9905000175931491,81113.08,1,True,False,True,spot_inside_favorite,lower_two,False
2026-02-13,T-60,60,2026-02-13T16:00:00+00:00,historical_validation_visible,"68,000-70,000","68,000-70,000",5,0.7850000262260437,0.8385575138436986,0.053557487617654886,"66,000-68,000",0.17000000178813934,0.1614424861563014,-0.00855751563183793,"70,000-72,000",0.024000000208616257,0.0,-0.024000000208616257,A,none,"68,000-70,000",5,1,0.8385575138436986,0.7850000262260437,0.03,0.8150000262260437,0.053557487617654886,0.02355748761765486,True,1.0,0.18499997377395627,0.22699382554700157,4.075000131130219,0.9249998688697814,2026-02,2,1.0,1.0000000281143002,68692.12,5,True,False,True,spot_inside_favorite,central,False
2026-02-21,T-30,30,2026-02-21T16:30:00+00:00,historical_validation_visible,"68,000-70,000","68,000-70,000",5,0.8700000047683716,1.0,0.12999999523162842,"66,000-68,000",0.11999999731779099,0.0,-0.11999999731779099,"70,000-72,000",0.0005000000237487257,0.0,-0.0005000000237487257,A,none,"68,000-70,000",5,1,1.0,0.8700000047683716,0.03,0.9000000047683716,0.12999999523162842,0.09999999523162839,True,1.0,0.09999999523162839,0.1111111052242326,4.500000023841858,0.49999997615814196,2026-02,2,1.0,0.9945000022999011,68274.36,5,True,False,True,spot_inside_favorite,central,False
2026-02-25,T-30,30,2026-02-25T16:30:00+00:00,historical_validation_visible,"68,000-70,000","66,000-68,000",5,0.5049999952316284,0.6580228566083781,0.1530228613767497,"64,000-66,000",0.00800000037997961,0.0,-0.00800000037997961,"68,000-70,000",0.4415000081062317,0.3419771433916219,-0.0995228647146098,A,none,"66,000-68,000",5,1,0.6580228566083781,0.5049999952316284,0.03,0.5349999952316284,0.1530228613767497,0.12302286137674967,False,0.0,-0.5349999952316284,-1.0,2.6749999761581424,-2.6749999761581424,2026-02,2,1.0,0.9630000037723221,67872.16,5,True,False,True,spot_inside_favorite,central,False
2026-03-02,T-30,30,2026-03-02T16:30:00+00:00,historical_validation_visible,"68,000-70,000","68,000-70,000",7,0.8495000004768372,0.9015062858464205,0.052006285369583294,"66,000-68,000",0.027000000700354576,0.0,-0.027000000700354576,"70,000-72,000",0.1145000010728836,0.09849371415357955,-0.016006286919304058,A,none,"68,000-70,000",7,1,0.9015062858464205,0.8495000004768372,0.03,0.8795000004768372,0.052006285369583294,0.022006285369583267,True,1.0,0.12049999952316282,0.13700966396569814,4.397500002384186,0.6024999976158141,2026-03,2,1.0,1.002500002272427,69383.65,7,True,False,True,spot_inside_favorite,central,False
